player,pos,handle,tweet
Robby Anderson,WR,chosen1ra,7 summers straight call it good luck 🤞
Robby Anderson,WR,chosen1ra,F n***** my lil boys Dey wanna be jus like me Facts @Gottiikidd1804
Robby Anderson,WR,chosen1ra,https://t.co/9698QwaMFP
Robby Anderson,WR,chosen1ra,It’s my time 🚀🤞🙏 https://t.co/BUWEHvF3aH
Robby Anderson,WR,chosen1ra,Um Finna snap 🥶🤞🙏💜🚀
Robby Anderson,WR,chosen1ra,&amp; dat song #11 dats crazy 🤞 https://t.co/GpjD5xf6Ms
Robby Anderson,WR,chosen1ra,"I kept it to real with all lot of people showed them more love than deserved and they ain’t appreciate it, I took it for what it is and put that extra energy into what deserved it “myself”. Everybody don’t deserve your blessing."
Robby Anderson,WR,chosen1ra,Certain thangs you gotta stand on regardless
Robby Anderson,WR,chosen1ra,@TheMuzzleFlare ?
Robby Anderson,WR,chosen1ra,"Keep it solid and keep goin I know God got my back, I know I ain’t perfect and I own my wrongs"
Robby Anderson,WR,chosen1ra,"1 thang I ain’t gone do is teach a grown up how they should act especially to be in my life, I ain’t got no kids yet &amp; ain’t teaching nor raising no grown ups what I look like 🤣"
Robby Anderson,WR,chosen1ra,"Now days you really ain’t gotta look for why you should cut people off, they tend to show you why they don’t deserve your energy over time it’s on you to accept the truth and move accordingly. Don’t let your kindness be your blindness."
Robby Anderson,WR,chosen1ra,Make the adjustments necessary for ya life or keep complaining about the same circumstances
Robby Anderson,WR,chosen1ra,@cuff_daddy_rio @BitchesAintShi_ Me
Robby Anderson,WR,chosen1ra,Everything intact 🙏
Robby Anderson,WR,chosen1ra,Up early ready to get it 🙏🤞 I love Monday’s
Robby Anderson,WR,chosen1ra,"I can’t make no “finsta” cause dats why a of being fake, what I’m doing hiding behind another page"
Robby Anderson,WR,chosen1ra,Tao 🥶 https://t.co/oQZugf65jP
Robby Anderson,WR,chosen1ra,"In a City where my dreams was created &amp; came true, still more to come 🙏🤞🙏 https://t.co/cLlZ4dfY1F"
Robby Anderson,WR,chosen1ra,🔥🥶 @SourPatchKids https://t.co/fJINHG5M7P
Robby Anderson,WR,chosen1ra,🌊 https://t.co/2Nxkkb6bqm
Robby Anderson,WR,chosen1ra,Fight Night @SHOsports @ShowtimeBoxing @showtime https://t.co/DixI8gbIGJ
Robby Anderson,WR,chosen1ra,Ion wanna hear nothin no more jus show me lol
Robby Anderson,WR,chosen1ra,I paint my own picture I direct my own life get ya popcorns ready 🚀
Robby Anderson,WR,chosen1ra,@dboysbdalivest Gotta stay strong brother it get greater later
Robby Anderson,WR,chosen1ra,"I ain’t got no life style I got Life and I keep dat simple y’all can have all dat other stuff I enjoy me safety, peace , and more importantly my Family."
Robby Anderson,WR,chosen1ra,"Never let no circumstances change my heart for the worse, if anything I just put a lock on it for protection. Don’t let this world change you for the worse."
Robby Anderson,WR,chosen1ra,Everything I do bigger than jus me
Robby Anderson,WR,chosen1ra,I ain’t worried bout nothin cause I know God in control #Peace
Robby Anderson,WR,chosen1ra,Gods wisdom &amp; strength 🙏
Robby Anderson,WR,chosen1ra,Good game 🔥 jimmybucks 🔥
Robby Anderson,WR,chosen1ra,😂😂 https://t.co/6Hk73TaV5b
Robby Anderson,WR,chosen1ra,I never needed nothin from nobody but for them to be real have my back and be honest &amp; genuine
Robby Anderson,WR,chosen1ra,I ain’t trippin though my heart was always pure and genuine with everything
Robby Anderson,WR,chosen1ra,"I gave my all to a lot of people and situations and got far from the same in return, it is what is though boundaries being set and time to really put me first."
Robby Anderson,WR,chosen1ra,Thank God for your protection 🙏
Robby Anderson,WR,chosen1ra,🔥 https://t.co/F3cuYtUVR4
Robby Anderson,WR,chosen1ra,LLJ 🕊💜😔 https://t.co/FxR57XIyuK
Robby Anderson,WR,chosen1ra,"The school situation just sad, I’ll never understand how people hearts be filled with dat much evil and allow them to go harm and take out their personal issues on innocent people let alone innocent children. RIP 🙏🙏🙏"
Robby Anderson,WR,chosen1ra,Order #DavisRomero at https://t.co/RCk3SBeH80 @Showtime https://t.co/glaDCNiq7m
Robby Anderson,WR,chosen1ra,🔥 I need this 🙏 https://t.co/4iSOSZGiMp
Robby Anderson,WR,chosen1ra,A bih pants don’t even be down yet and they ready to s*** on ya. Slow ya roll bih 😂
Robby Anderson,WR,chosen1ra,"People be ready for the moment to s*** on you, whole time you just wanna see them win and showing love."
Stephen Anderson,TE,S_Anderson89,👀 https://t.co/j8MQVAuexF
Stephen Anderson,TE,S_Anderson89,So who got the Celtics in the finals? I’m tryna see somethin
Stephen Anderson,TE,S_Anderson89,😂😂 https://t.co/Z0RR6vDT7E
Stephen Anderson,TE,S_Anderson89,This Warriors team fully healthy vs Lakers bubble championship team. Who wins?
Stephen Anderson,TE,S_Anderson89,@NastyWideOuts Thank you Coach Peeler!
Stephen Anderson,TE,S_Anderson89,Full story out now! https://t.co/i3euLFz2UC https://t.co/0riJ1qgxvx
Stephen Anderson,TE,S_Anderson89,It’s so scary the thought of bringing children in this world man...smh. Those parents just lost their everything
Alex Bachman,WR,AlexBachman,Wow! That’s A HERO!!! https://t.co/WuD3JaaVgx
Alex Bachman,WR,AlexBachman,"They criticize your habits and disciplines, then turn around &amp; praise your achievements and ask how you did it."
Alex Bachman,WR,AlexBachman,#TopGun was electric! That’s how you do a sequel!
Alex Bachman,WR,AlexBachman,Talk your talk coach. WAKE has exceeded expectations every single year since he has arrived on campus!! https://t.co/UmjURQ77N8
Alex Bachman,WR,AlexBachman,"Some things in this world sadden my heart man. It is no doubt a sensitive time.  But just because we’re hurt or our hearts are hurting, does not give us a reason to hurt or attack others. WE, need to watch how we talk &amp; treat people, even when we’re hurt. That’s real character."
Jake Bargas,FB,jbargas22,🙏🏼 https://t.co/q6JnjXMzGm
Jake Bargas,FB,jbargas22,"Home of the free, because of the brave. Today and everyday we remember those who made the ultimate sacrifice. 🇺🇸 #MemorialDay"
Jake Bargas,FB,jbargas22,Great game. Go heels! https://t.co/3Op2do2IUP
Jake Bargas,FB,jbargas22,💜🙏🏼 https://t.co/bNG0SSiNqh
Matt Barkley,QB,MattBarkley,Matching outfits on point @TRAVISMATHEW 🤣 https://t.co/Gaogyx8HC6
Matt Barkley,QB,MattBarkley,"This is wild, only @TomWaterhouse could come back from a loss like this!!

Hear our whole conversation now on the new episode of #MakingBread from @WhistleSports!

Listen here: 
https://t.co/YETfZ2kwrD https://t.co/pCJQ80moJR"
Saquon Barkley,RB,saquon,Love is love 🖤
Rashod Bateman,WR,R_bateman2,"Brittney Griner has been illegally detained in Russia since February 17th, 2022. I’m urging the @WhiteHouse to prioritize Brittney’s safe return home immediately! #WeAreBG

https://t.co/3q6AeGvvpP"
Rashod Bateman,WR,R_bateman2,Impact 💯 https://t.co/kHvN3KYzDW
Rashod Bateman,WR,R_bateman2,🙏🏾
Rashod Bateman,WR,R_bateman2,💜🖤 https://t.co/MNy7hlTD6G
Andrew Beck,FB,afbeckmd,"Earlier, I wondered how many moments of silence the 117th #Congress has observed. 

What if we all gave $1+ for each moment to candidates ready to act on #GunSafety? Those like @AnnieAndrewsMD @VoteLandsman @YadiraCaraveo

If we can't find #, I count 214d in session since 1/1/21."
Andrew Beck,FB,afbeckmd,Anyone know how many moments of silence there have been in this term of #Congress? @HouseFloor @SenateFloor
Andrew Beck,FB,afbeckmd,"As we emerge from another tragic week and enter #MemorialDayWeekend, may we channel our anger, grief, and frustration for good. May we:
1. Support groups like @MomsDemand 
2. Push for #GunSafetyLawsNOW or #vote for leaders who will actually get them passed
3. #putkids1st"
Andrew Beck,FB,afbeckmd,"If that's not enough, here's a similar chart for mass shootings in the United States since January 1, 2022. These data come from @GunViolenceArch. Same story. The average number of days between mass shootings in this country is 0. Zero. https://t.co/IoxyL4MfVu"
Andrew Beck,FB,afbeckmd,"Mass shootings have become ubiquitous. Using data from @Everytown, I put together this days between chart. It looks at the average number of days between shootings on school grounds. The average is 0. Zero. The only blips correspond to times when schools are closed. https://t.co/DSmN3PcUdF"
Andrew Beck,FB,afbeckmd,"Ok. That's all for #COVID19 for now. While on the subject of #publichealth, I'd like to pivot to #GunViolence. Yes, it is a public health issue. According to: https://t.co/n5izSA7XEk, guns have passed car accidents as the number one cause of child deaths. https://t.co/E5R9gHVoXW"
Andrew Beck,FB,afbeckmd,"Unfortunately, #vaccination has been stubbornly flat. We are stuck at 65% started, 60% completed initial series, 29% boosted. https://t.co/FoMdC5Dgjs"
Andrew Beck,FB,afbeckmd,Trends perhaps seen slightly better on these charts. Number of #COVID positive patients in hospitals on left and in ICU on right. Trend line fit (dotted line is a temporary line as we accrue more points). https://t.co/Kkhk2ZYyX1
Andrew Beck,FB,afbeckmd,We are seeing more #COVID positive patients in our hospital and ICU beds. Now 85 in med-surg beds (up from 75 last week) and 17 in ICU (up from 5-10 last week). https://t.co/vWZE8R1qNI
Andrew Beck,FB,afbeckmd,Increases in cases are occurring across age groups. See steadily rising incidence per age category below. Highest numbers currently among 30-49 year olds. 8.9% of all tests are now coming back positive for individuals in Greater #Cincinnati. https://t.co/qM4l2PsBdK
Andrew Beck,FB,afbeckmd,"Here's a zoomed in look at our Hamilton County zip codes. More red and dark red than last week, still more on east than west side. Not certain if this is reflective of more disease, less testing, or both. https://t.co/YgM9CLsXlq"
Andrew Beck,FB,afbeckmd,"Here's the zoomed in look at our region - @CDCgov community levels in the map on top, community transmission (cases per 100k) on the bottom. https://t.co/VbP3Wpel20"
Andrew Beck,FB,afbeckmd,"A short #MemorialDayWeekend public health-themed thread - #COVID19 and more (read to end).

We are at a 'low' community level per the @CDCgov. More counties in NE Ohio turning yellow/red. SW Ohio likely to follow suit soon. All of Ohio is 'substantial' or 'high' transmission. https://t.co/6jVL3kJ2UI"
Andrew Beck,FB,afbeckmd,Proud to be a member of an organization committed to doing what is right. https://t.co/EtAD1GZWT8
Andrew Beck,FB,afbeckmd,Wise and wonderful decision by @314action - we need leaders like @AnnieAndrewsMD representing us! https://t.co/XO29T32Mlh
Andrew Beck,FB,afbeckmd,Fourth Graders And Teachers: These Are The Victims Of The Uvalde School Shooting https://t.co/uplwLJxtnc
Andrew Beck,FB,afbeckmd,"Childhood Asthma, Wheeze, and Neighborhood Socioeconomic Factors https://t.co/bupDexp9ux via @JAMAPediatrics part of @JAMANetwork"
Andrew Beck,FB,afbeckmd,"Childhood Asthma Disparities—Race, Place, or Not Keeping Pace? https://t.co/lYr711lRCK via @JAMAPediatrics part of @JAMANetwork"
Andrew Beck,FB,afbeckmd,"There have been 15 mass shootings in the US since Buffalo. In the words of @ChrisMurphyCT, “what are we doing?” Are we not better than this? Do we not deserve, and must we not demand, better? #GunControlNow 

https://t.co/hKl1PRMay8"
Andrew Beck,FB,afbeckmd,"Perfect message from the perfect candidate for our time. What do you think, @FullFrontalSamB, @TheDailyShow, @jonstewart, @StephenAtHome, @maddow, @kenjeong, @OfficialJLD, @MichelleObama, @BarackObama?

Dr. @AnnieAndrewsMD is most certainly the real deal. https://t.co/nViFgW7DcN"
Andrew Beck,FB,afbeckmd,“There are risks and costs to action. But they are far less than the long range risks of comfortable inaction.” - John F. Kennedy #UvaldeMassacre https://t.co/dXuSG3jJ0s
David Bell,WR,DB3LL,Tatum is closing it tonight🫠 https://t.co/wweI96sdzZ
Eno Benjamin,RB,EnoB,"fml.. Rest In Peace, Jeff Gladney 
Praying for the entire family. Love you bro"
Kurt Benkert,QB,KurtBenkert,https://t.co/AfPL2JJyoa https://t.co/c9dhFTprgz
Kurt Benkert,QB,KurtBenkert,Decent catch @ :07 @OnlyOne_JW 🕸 https://t.co/N56jnrR3ge
Kurt Benkert,QB,KurtBenkert,@Henrunkel61 https://t.co/eVmYLvUyYK
Kurt Benkert,QB,KurtBenkert,Idk who needs to hear this but June 10th Peaky Blinders season 6 😌
Kurt Benkert,QB,KurtBenkert,@NICKMERCS NickWercs 🫡
Kurt Benkert,QB,KurtBenkert,This is actually really cool https://t.co/fW3uuCJo4K
Kurt Benkert,QB,KurtBenkert,"When it comes to having Monday off from work, which is better?"
Kurt Benkert,QB,KurtBenkert,"The best corners are the ones consistently in good position within the first 5-10 yards of a route.

If you understand the route tree (which changes from opponent to opponent), then take it to the next level and study the QB’s drop in association to the routes, sky’s the limit.📈 https://t.co/tMqeIrxpfc"
Kurt Benkert,QB,KurtBenkert,Another good day in the books. Mom’s spaghetti for dinner too. 😋 https://t.co/9SaWdUjPow
Kurt Benkert,QB,KurtBenkert,Who’s gunna tell him? https://t.co/vajZSLspZA
Kurt Benkert,QB,KurtBenkert,@FNCompetitive Zero build Arena thanks in advance ❤️
Kurt Benkert,QB,KurtBenkert,@GFuelEnergy @Target That’s hot
Kurt Benkert,QB,KurtBenkert,@dschwartz_24 Got it from @JNHLifestyles
Kurt Benkert,QB,KurtBenkert,@SahilGoesHARD Yes sir 🤓🔥
Kurt Benkert,QB,KurtBenkert,Heat check 🔥 https://t.co/9v1Z8ViXcl
Kurt Benkert,QB,KurtBenkert,Groovy https://t.co/Q7HQrhssxU
Kurt Benkert,QB,KurtBenkert,"@DoeRayLove @JNHLifestyles I like both, this is easiest at home 🔥"
Kurt Benkert,QB,KurtBenkert,@maxchsbr @JNHLifestyles Sauna 🤟🏼
Kurt Benkert,QB,KurtBenkert,Today’s task 🔥💦🧖 https://t.co/PICzN2PUng
Kurt Benkert,QB,KurtBenkert,@WCFMichaelVela @JakeSucky @fullsquadgaming Can’t wait to see the rating
Kurt Benkert,QB,KurtBenkert,@JGODYT So good
Kurt Benkert,QB,KurtBenkert,Stranger Things 🤓🌸
Kurt Benkert,QB,KurtBenkert,brb googling cost of owning a horse https://t.co/smG5CB2kd7
Kurt Benkert,QB,KurtBenkert,Good days ❤️ https://t.co/7QepVb1kjK
Kurt Benkert,QB,KurtBenkert,@StoolGametime No doubt 😂
Kurt Benkert,QB,KurtBenkert,It’s sad that this will get you a massive rank down on the day. No way should 1 game be worth more than 3. Especially if you are top fragger in the loss. Actually can’t enjoy playing ranked if this is how it stays. https://t.co/NGwce2dXt2
Kurt Benkert,QB,KurtBenkert,@NeckBeardJeb 😂
Kurt Benkert,QB,KurtBenkert,@BradyJano9 How mad would you be camping top tower to get killed by a random thermite that I just so happen to find on the ground and throw 😂😂😂
Kurt Benkert,QB,KurtBenkert,Well this was cool https://t.co/fdpyW9Kcgn
Kurt Benkert,QB,KurtBenkert,"Hey @Halo can we have the halo 3 ranking system back for Infinite? Sincerely, everyone."
Kurt Benkert,QB,KurtBenkert,"Movie was super fire.

Also #PogueLife https://t.co/x22zytnB9w"
Kurt Benkert,QB,KurtBenkert,@Jennpaulkelly Hasn’t been used much so I assume great 😂
Kurt Benkert,QB,KurtBenkert,@Cou_J Its in the pants 😂 now a days knee pads don’t really cover the knees
Kurt Benkert,QB,KurtBenkert,Post practice vibes. She picked the shirt. 😍 https://t.co/W1a0UnIltz
Kurt Benkert,QB,KurtBenkert,"I love the work being done at Stride to expand on what’s being offered in the gaming space. The growth in Esports is apparent, from new careers to scholarships, the opportunities are endless.📈 https://t.co/AqrNBOFzkn"
Kurt Benkert,QB,KurtBenkert,"Do things you can build on.
Create habits you can build on.
Make today a day you can build on.
🧱"
Kurt Benkert,QB,KurtBenkert,MWII original maps are in the new Warzone map when the game releases later this year. Taking me allll the way back 😍 https://t.co/50CpOMdDv6 https://t.co/sJHnMnrktF
Kurt Benkert,QB,KurtBenkert,@DiscoverGrnBay Sunny Side Up Burger 🍔 🍳😋
Kurt Benkert,QB,KurtBenkert,"@MuffinsTopsRHot Needed a better picture, coming tomorrow 😎"
Kurt Benkert,QB,KurtBenkert,"Eating at one of the girls’ favorite places tonight, Bleu.

Sam- likes the food, esp. the seafood.
Scout- likes the doors on the ceiling and the big dog aka “woof”. https://t.co/ifUZCk1iAc"
Kurt Benkert,QB,KurtBenkert,@Spacestation 👀👀👀 let’s talk
Kurt Benkert,QB,KurtBenkert,"Thinking Memes of the week, Q&amp;A’s, Travel behind the scenes, and Pop Culture Hot Takes.

Also, Pokémon. https://t.co/GSccK2tWWe"
Kurt Benkert,QB,KurtBenkert,"“Hey mommy, I took the butter off the counter. 😋” https://t.co/uSbXtK3ICc"
Kurt Benkert,QB,KurtBenkert,Turn words into action 📝 https://t.co/EDdpG39rQZ https://t.co/U96QJpVadf
Kurt Benkert,QB,KurtBenkert,S/o to @SteelSeries coming through with the heat 🥵 https://t.co/IrKJiVkFdi
Brandon Bolden,RB,BB_HulkSmash,🙏🏾🙏🏾🙏🏾 https://t.co/DWqviv2ZVy
Kendrick Bourne,WR,BournePoly11,I’m a Servant of Jesus! Seeking what i need to do to help others find the light!
Kendrick Bourne,WR,BournePoly11,"https://t.co/wdur2hKydf

New vlog wit my guy Robert! Check it out! https://t.co/llZVtwdqg8"
Kendrick Bourne,WR,BournePoly11,I’ll just wait for Jesus to tell me when it’s time! https://t.co/QeYEvFJ64s
Kendrick Bourne,WR,BournePoly11,@craw1122 Thankful! I forgot my wallet and my Guy paid for me!
Kendrick Bourne,WR,BournePoly11,@RamsNFL @EWUFootball @CooperKupp New helmet @CooperKupp 👀👀
Tim Boyle,QB,TimothyMBoyle,"Culiminated day of ties, ascots, and bow ties club led by the one and only Officer J ⁦@SLAMiddle⁩ https://t.co/dLmE7wU4N7"
Tim Boyle,QB,TimothyMBoyle,"14.4% of high school students passed the keystone in 2019, but 53% of 8th graders that took the test did. It seems like we might have figured out how to sort the kids more than we figured out how to teach them."
Tim Boyle,QB,TimothyMBoyle,"That also tells me that we are heavily tracking students, in math, and that the sanctity of Algebra I-&gt;Geometry-&gt;Algebra II/Pre-Calc-&gt;Statics/Calc is operating feature of the day"
Tim Boyle,QB,TimothyMBoyle,"There are as few as 8 kids taking the test at Ludlow and as many as 157 at Baldi, but no matter where, all 8th don't take the test. I'd imagine there are multiple factors at play, but K-8 schools with &lt;60 per grade being the mode type of configuration in the city has to up there"
Tim Boyle,QB,TimothyMBoyle,"the difference between Algebra I pass rates and pssa pass rates is very interesting, especially at catchment schools, it is almost triple the pass rate between tests. Carver had 75% pass rate for Keystone but 55% rate for pssa, that seems to not make much sense"
Tim Boyle,QB,TimothyMBoyle,So all of that says a lot and very little at the same time
Tim Boyle,QB,TimothyMBoyle,"at the magnet level, all 6 offered the keystone with a pass rate of 68% compared to 51.2% for the pssa. 72% of students in magnet schools took the Algebra I keystone"
Tim Boyle,QB,TimothyMBoyle,"at the city-wide level, 3 out of 4 (not Fitler) offered the test and had a pass rate of 36% on the Keystone and 13.1% on the pssa. Only 37% of 8th graders in those schools took the Keystone"
Tim Boyle,QB,TimothyMBoyle,"at the catchment level, 34 schools offered the test so 31% of catchment schools had the option, the pass rate among those schools was 49.3%, they had 17.1% pass for the math pssa in 8th. Only 32% of 8th graders in those schools took the Keystone"
Tim Boyle,QB,TimothyMBoyle,"43 out 119 school with 8th graders offered the test, so 36% of K-8 or middles schools or high schools with middle grades"
Tim Boyle,QB,TimothyMBoyle,"for the last ""normal"" year 1,776/8,754 8th graders in SDP took the test, or 20%. The pass rate of those students was 53%. That compares with an 18.4% pass rate for the math PSSA with 95% 8th graders taking the test"
Tim Boyle,QB,TimothyMBoyle,"Sitting in a meeting about Keystone pathways, I dug around to what Algebra I Keystone participation/pass rates looked like in 8th grade"
Tim Boyle,QB,TimothyMBoyle,@newskag list of schools available?
Tim Boyle,QB,TimothyMBoyle,Castor Gardens Middle becomes the 31st school named after a neighborhood
Tim Boyle,QB,TimothyMBoyle,Philly teacher: “This should not be normal” | Opinion https://t.co/WB08hJyIbj via @phillyinquirer
Tim Boyle,QB,TimothyMBoyle,"I don’t remember consenting to some grand bargain with police that we either let them act with complete impunity and unquestioned results, or they will refuse to perform their jobs while getting paid, and yet"
Tim Boyle,QB,TimothyMBoyle,"Seemingly ubiquitous access to large capacity weapons of war is a choice we allow every single day. We can make these scarce, we can limit access, we know how"
Tim Boyle,QB,TimothyMBoyle,"We have areas that are food deserts, limited/no access to primary/reproductive health care, no high speed internet, limited library hours, limited polling station access, no baby formula, this country can choose scarcity, can choose to limit access to what we don’t value."
Tim Boyle,QB,TimothyMBoyle,I hope folks understand the difficulty and skill of @SenatorSaval to get to this point and join the amazing effort to get this passed https://t.co/KLTtL53sOr
Tom Brady,QB,TomBrady,"You asked, we answered. First @bradybrand sale is live now: https://t.co/shA1aMYd6H https://t.co/LqutDg2XXb"
Tom Brady,QB,TomBrady,https://t.co/44g5u4fxKw https://t.co/bQkUifQNol
Tom Brady,QB,TomBrady,Shop the outfit now! https://t.co/Bx0UnTMRJr https://t.co/FLwfnGyMRQ
Tom Brady,QB,TomBrady,"This is why you film every shot on the course…

🎥: @ari_fararooy + @ShadowLion https://t.co/h9QrbLKOmu"
Jacoby Brissett,QB,JBrissett12,@JoshStech @sundae Good stuff!
A.J. Brown,WR,1kalwaysopen_,Y’all know them light skinned boys be hoopin
A.J. Brown,WR,1kalwaysopen_,"Warriors in 5! 
Enjoy your short night🫠 @DeVontaSmith_6"
A.J. Brown,WR,1kalwaysopen_,@ddknight33 Bro ain’t no consistent hoopers on the Celtics . You have to put the ball in the basket🥴
A.J. Brown,WR,1kalwaysopen_,Warriors in 5 because neither of these teams are it
A.J. Brown,WR,1kalwaysopen_,These boys are selling this fight 🍿
Anthony Brown,QB,RepAnthonyBrown,"2 mass shootings in less than 2 weeks, by 2 18-year-olds who purchased these deadly weapons legally. 

It’s time for action!

It’s time to #RaiseTheAge, it's time to pass national #RedFlagLaws and universal background checks.

I joined @CapehartJ on @TheLastWord to discuss. https://t.co/il3Qs0MGVc"
Anthony Brown,QB,RepAnthonyBrown,"Our country’s story and that of our military are diverse, with men and women from different races and backgrounds coming together to serve something larger than themselves.

That’s our true power, heritage and history, which we should honor. It’s time.

https://t.co/CtC4uFuIkN"
Anthony Brown,QB,RepAnthonyBrown,"Sharing the stories of diverse Americans will help us tell a more complete story of our country and those who have fought to defend it.

https://t.co/CzEFgYsyt2"
Anthony Brown,QB,RepAnthonyBrown,"In 1865, locals spent more than a week cleaning up gravesites, organizing them into clean rows, and building a fence around the cemetery for protection. 

For a final touch, they laid flowers upon the newly-established graves 💐

Hence, #DecorationDay"
Anthony Brown,QB,RepAnthonyBrown,"Originally called #DecorationDay, freed Black people in Charleston, SC organized an event to pay homage to the countless Black soldiers who valiantly fought in the Civil War and died nameless and without proper burials. https://t.co/hx8lx0OtoE"
Anthony Brown,QB,RepAnthonyBrown,"While nowadays #MemorialDay honors veterans from all American wars, the observance has its roots in the Antebellum South. https://t.co/XuZzHILWCG"
Anthony Brown,QB,RepAnthonyBrown,"On #MemorialDay, we pause to remember generations of servicemembers of every race, origin, religion, and creed who lost their lives in service to our country.

We are forever indebted to them for their bravery and courage, and that of their families. https://t.co/YgDrJW7xaY"
Anthony Brown,QB,RepAnthonyBrown,"Now, how does that make sense? *rhetorical question*

The math ain’t mathin’ 🤔 https://t.co/laS7mPu9jx"
Anthony Brown,QB,RepAnthonyBrown,"@BaltimoreKammi @TheRevAl @TheBlackCaucus @RepBeatty AMEN, sis!—ACW https://t.co/aF1Jfr5CIC"
Anthony Brown,QB,RepAnthonyBrown,"If you or someone you know is struggling, reach out. 

We're in this together and you have a community ready to embrace and support you in this journey.
https://t.co/MEMVuffOyo"
